at;content;cleaning;case_folding;hasil_normalisasi;tokenize;stopword removal;steming_data;stemming;Score;Sentiment
2025-12-31 08:49:20;aplikasi gaje. NIK benar kok di keterangan NIK salah.;aplikasi gaje NIK benar kok di keterangan NIK salah;aplikasi gaje nik benar kok di keterangan nik salah;aplikasi tidak jelas nik benar kok di keterangan nik salah;['aplikasi', 'tidak', 'jelas', 'nik', 'benar', 'kok', 'di', 'keterangan', 'nik', 'salah'];['aplikasi', 'nik', 'keterangan', 'nik', 'salah'];aplikasi nik terang nik salah;aplikasi nik terang nik salah;-6.0;Negatif
2025-12-31 05:54:15;membantu apk ini;membantu apk ini;membantu apk ini;membantu apk ini;['membantu', 'apk', 'ini'];['membantu', 'apk'];bantu apk;bantu apk;3.0;Positif
2025-12-30 22:44:28;keren;keren;keren;keren;['keren'];['keren'];keren;keren;3.0;Positif
2025-12-30 15:20:30;ga daftar buat skrining kesehatan tapi ada datanya itu kek mana???? nama anak lagi bisa2nya asal isi dan ambil data seenak jidatnya, apk pemerintah kapan sih bisa diksh rating 5?? ga pernah bener;ga daftar buat skrining kesehatan tapi ada datanya itu kek mana nama anak lagi bisanya asal isi dan ambil data seenak jidatnya apk pemerintah kapan sih bisa diksh rating ga pernah bener;ga daftar buat skrining kesehatan tapi ada datanya itu kek mana nama anak lagi bisanya asal isi dan ambil data seenak jidatnya apk pemerintah kapan sih bisa diksh rating ga pernah bener;tidak daftar buat skrining kesehatan tapi ada datanya itu kayak mana nama anak lagi bisanya asal isi dan ambil data seenak jidatnya apk pemerintah kapan sih bisa diksh rating tidak pernah benar;['tidak', 'daftar', 'buat', 'skrining', 'kesehatan', 'tapi', 'ada', 'datanya', 'itu', 'kayak', 'mana', 'nama', 'anak', 'lagi', 'bisanya', 'asal', 'isi', 'dan', 'ambil', 'data', 'seenak', 'jidatnya', 'apk', 'pemerintah', 'kapan', 'sih', 'bisa', 'diksh', 'rating', 'tidak', 'pernah', 'benar'];['daftar', 'skrining', 'kesehatan', 'datanya', 'kayak', 'nama', 'anak', 'bisanya', 'isi', 'ambil', 'data', 'seenak', 'jidatnya', 'apk', 'pemerintah', 'sih', 'diksh', 'rating'];daftar skrining sehat data kayak nama anak bisa isi ambil data enak jidat apk perintah sih diksh rating;daftar skrining sehat data kayak nama anak bisa isi ambil data enak jidat apk perintah sih diksh rating;-5.0;Negatif
2025-12-30 13:58:09;TIDAK BISA LOGIN. HALAMAN MASUKKAN PIN BERMASALAH;TIDAK BISA LOGIN HALAMAN MASUKKAN PIN BERMASALAH;tidak bisa login halaman masukkan pin bermasalah;tidak bisa login halaman masukkan pin bermasalah;['tidak', 'bisa', 'login', 'halaman', 'masukkan', 'pin', 'bermasalah'];['login', 'halaman', 'masukkan', 'pin', 'bermasalah'];login halaman masuk pin masalah;login halaman masuk pin masalah;-7.0;Negatif
2025-12-30 12:44:56;Alhamdulillah...saya mudah mendapat informasi..;Alhamdulillahsaya mudah mendapat informasi;alhamdulillahsaya mudah mendapat informasi;alhamdulillahsaya mudah mendapat informasi;['alhamdulillahsaya', 'mudah', 'mendapat', 'informasi'];['alhamdulillahsaya', 'mudah', 'informasi'];alhamdulillahsaya mudah informasi;alhamdulillahsaya mudah informasi;6.0;Positif
2025-12-30 11:16:13;pelayanannya lancar;pelayanannya lancar;pelayanannya lancar;pelayanannya lancar;['pelayanannya', 'lancar'];['pelayanannya', 'lancar'];layan lancar;layan lancar;6.0;Positif
2025-12-30 08:32:49;smart educational health care. sangat membantu monitoring kesehatan pribadi dan keluarga. sukses selalu SATU SEHAT.;smart educational health care sangat membantu monitoring kesehatan pribadi dan keluarga sukses selalu SATU SEHAT;smart educational health care sangat membantu monitoring kesehatan pribadi dan keluarga sukses selalu satu sehat;smart educational health care sangat membantu monitoring kesehatan pribadi dan keluarga sukses selalu satu sehat;['smart', 'educational', 'health', 'care', 'sangat', 'membantu', 'monitoring', 'kesehatan', 'pribadi', 'dan', 'keluarga', 'sukses', 'selalu', 'satu', 'sehat'];['smart', 'educational', 'health', 'care', 'membantu', 'monitoring', 'kesehatan', 'pribadi', 'keluarga', 'sukses', 'sehat'];smart educational health care bantu monitoring sehat pribadi keluarga sukses sehat;smart educational health care bantu monitoring sehat pribadi keluarga sukses sehat;20.0;Positif
2025-12-30 06:57:51;sesuai pengalaman saya, pernah mendaftar antrian secara online melalui aplikasi ini, namun belum dilayani malah diaplikasi keterangan sudah selesai dilayani.;sesuai pengalaman saya pernah mendaftar antrian secara online melalui aplikasi ini namun belum dilayani malah diaplikasi keterangan sudah selesai dilayani;sesuai pengalaman saya pernah mendaftar antrian secara online melalui aplikasi ini namun belum dilayani malah diaplikasi keterangan sudah selesai dilayani;sesuai pengalaman saya pernah mendaftar antrian secara online melalui aplikasi ini namun belum dilayani malah diaplikasi keterangan sudah selesai dilayani;['sesuai', 'pengalaman', 'saya', 'pernah', 'mendaftar', 'antrian', 'secara', 'online', 'melalui', 'aplikasi', 'ini', 'namun', 'belum', 'dilayani', 'malah', 'diaplikasi', 'keterangan', 'sudah', 'selesai', 'dilayani'];['sesuai', 'pengalaman', 'mendaftar', 'antrian', 'online', 'aplikasi', 'dilayani', 'diaplikasi', 'keterangan', 'selesai', 'dilayani'];sesuai alam daftar antri online aplikasi layan aplikasi terang selesai layan;sesuai alam daftar antri online aplikasi layan aplikasi terang selesai layan;6.0;Positif
2025-12-30 05:17:55;ketahuan penyakitnya;ketahuan penyakitnya;ketahuan penyakitnya;ketahuan penyakitnya;['ketahuan', 'penyakitnya'];['ketahuan', 'penyakitnya'];tahu sakit;tahu sakit;-1.0;Negatif
2025-12-30 04:28:39;sangat cepat;sangat cepat;sangat cepat;sangat cepat;['sangat', 'cepat'];['cepat'];cepat;cepat;3.0;Positif
2025-12-28 08:15:55;aplikasi nya maantap;aplikasi nya maantap;aplikasi nya maantap;aplikasi ya maantap;['aplikasi', 'ya', 'maantap'];['aplikasi', 'ya', 'maantap'];aplikasi ya maantap;aplikasi ya maantap;0.0;Netral
2025-12-28 02:19:50;permisi min, ijin menyampaikan aspirasi pendapat. kenapa tidak digabung ke jkn mobile min? agar satu pintu. daftar di rumah sakit kecil tapi data jga bisa terbaca di RS besar. terimakasih;permisi min ijin menyampaikan aspirasi pendapat kenapa tidak digabung ke jkn mobile min agar satu pintu daftar di rumah sakit kecil tapi data jga bisa terbaca di RS besar terimakasih;permisi min ijin menyampaikan aspirasi pendapat kenapa tidak digabung ke jkn mobile min agar satu pintu daftar di rumah sakit kecil tapi data jga bisa terbaca di rs besar terimakasih;permisi min ijin menyampaikan aspirasi pendapat kenapa tidak digabung ke jkn mobile min agar satu pintu daftar di rumah sakit kecil tapi data juga bisa terbaca di rs besar terimakasih;['permisi', 'min', 'ijin', 'menyampaikan', 'aspirasi', 'pendapat', 'kenapa', 'tidak', 'digabung', 'ke', 'jkn', 'mobile', 'min', 'agar', 'satu', 'pintu', 'daftar', 'di', 'rumah', 'sakit', 'kecil', 'tapi', 'data', 'juga', 'bisa', 'terbaca', 'di', 'rs', 'besar', 'terimakasih'];['permisi', 'min', 'ijin', 'aspirasi', 'pendapat', 'digabung', 'jkn', 'mobile', 'min', 'pintu', 'daftar', 'rumah', 'sakit', 'data', 'terbaca', 'rs', 'terimakasih'];permisi min ijin aspirasi dapat gabung jkn mobile min pintu daftar rumah sakit data baca rs terimakasih;permisi min ijin aspirasi dapat gabung jkn mobile min pintu daftar rumah sakit data baca rs terimakasih;1.0;Positif
2025-12-28 01:22:01;puas;puas;puas;puas;['puas'];['puas'];puas;puas;3.0;Positif
2025-12-27 10:23:44;aplikasi ribet,bulak balik suruh ganti pin sudah,masukan nik sudah dll,tetap aja pin tidak valid. susah login aneh;aplikasi ribetbulak balik suruh ganti pin sudahmasukan nik sudah dlltetap aja pin tidak valid susah login aneh;aplikasi ribetbulak balik suruh ganti pin sudahmasukan nik sudah dlltetap aja pin tidak valid susah login aneh;aplikasi ribetbulak balik suruh ganti pin sudahmasukan nik sudah dlltetap saja pin tidak valid susah login aneh;['aplikasi', 'ribetbulak', 'balik', 'suruh', 'ganti', 'pin', 'sudahmasukan', 'nik', 'sudah', 'dlltetap', 'saja', 'pin', 'tidak', 'valid', 'susah', 'login', 'aneh'];['aplikasi', 'ribetbulak', 'suruh', 'ganti', 'pin', 'sudahmasukan', 'nik', 'dlltetap', 'pin', 'valid', 'susah', 'login', 'aneh'];aplikasi ribetbulak suruh ganti pin sudahmasukan nik dlltetap pin valid susah login aneh;aplikasi ribetbulak suruh ganti pin sudahmasukan nik dlltetap pin valid susah login aneh;-2.0;Negatif
